Inicio,Latitud,Longitud,Fin,,,Distancia
Av. Raul Ferrero S/N - La Molina 15024,-12.0911000,-76.9500003,Calle Toulon 155 - La Molina 15023,-12.0722000,-76.9526652,5.73
jr. las - Calle Jr.Monte Caoba 152 - La Molina,-12.0910000,-76.9495000,LM-119 688 - La Molina 15023,-12.0664305,-76.9593000,7.94
jr. las - Calle Jr.Monte Caoba 152 - La Molina,-12.0910000,-76.9495000,El Carrizal 265 - La Molina 15012,-12.0633707,-76.9571991,11.47
jr. las - Calle Jr.Monte Caoba 152 - La Molina,-12.0910000,-76.9495000,Av. la Fontana 955 - La Molina 15024,-12.0733000,-76.9480494,7.10
jr. las - Calle Jr.Monte Caoba 152 - La Molina,-12.0910000,-76.9495000,Av. Javier Prado Este 4921 - La Molina 15023,-12.0913212,-76.9510361,0.31
jr. las - Calle Jr.Monte Caoba 152 - La Molina,-12.0910000,-76.9495000,894 - Av. Flora Tristan 956 - La Molina 15012,-12.0635850,-76.9453729,11.09
jr. las - Calle Jr.Monte Caoba 152 - La Molina,-12.0910000,-76.9495000,Calle Toulon 155 - La Molina 15023,-12.0722000,-76.9526652,3.81
LM-119 3795 - La Molina 15026,-12.0857628,-76.9075051,LM-119 688 - La Molina 15023,-12.0664305,-76.9593000,22.11
LM-119 3795 - La Molina 15026,-12.0857628,-76.9075051,El Carrizal 265 - La Molina 15012,-12.0633707,-76.9571991,16.35
LM-119 3795 - La Molina 15026,-12.0857628,-76.9075051,Av. la Fontana 955 - La Molina 15024,-12.0733000,-76.9480494,8.48
LM-119 3795 - La Molina 15026,-12.0857628,-76.9075051,Av. Javier Prado Este 4921 - La Molina 15023,-12.0913212,-76.9510361,13.17
LM-119 3795 - La Molina 15026,-12.0857628,-76.9075051,894 - Av. Flora Tristan 956 - La Molina 15012,-12.0635850,-76.9453729,13.17
LM-119 3795 - La Molina 15026,-12.0857628,-76.9075051,Calle Toulon 155 - La Molina 15023,-12.0722000,-76.9526652,18.86
Calle Toulon 155 - La Molina 15023,-12.0722000,-76.9526652,LM-119 688 - La Molina 15023,-12.0664305,-76.9593000,2.64
Calle Toulon 155 - La Molina 15023,-12.0722000,-76.9526652,El Carrizal 265 - La Molina 15012,-12.0633707,-76.9571991,1.99
Calle Toulon 155 - La Molina 15023,-12.0722000,-76.9526652,Av. la Fontana 955 - La Molina 15024,-12.0733000,-76.9480494,1.90
Calle Toulon 155 - La Molina 15023,-12.0722000,-76.9526652,Av. Javier Prado Este 4921 - La Molina 15023,-12.0913212,-76.9510361,3.84
Calle Toulon 155 - La Molina 15023,-12.0722000,-76.9526652,894 - Av. Flora Tristan 956 - La Molina 15012,-12.0635850,-76.9453729,2.26
Calle Toulon 155 - La Molina 15023,-12.0722000,-76.9526652,Av. Republica de Panama 3055 - San Isidro 15036,-12.0937126,-77.0211611,28.72
LM-119 1111 - La Molina 15024,-12.0723261,-76.9559000,LM-119 688 - La Molina 15023,-12.0664305,-76.9593000,2.04
LM-119 1111 - La Molina 15024,-12.0723261,-76.9559000,El Carrizal 265 - La Molina 15012,-12.0633707,-76.9571991,2.71
LM-119 1111 - La Molina 15024,-12.0723261,-76.9559000,Av. la Fontana 955 - La Molina 15024,-12.0733000,-76.9480494,3.16
LM-119 1111 - La Molina 15024,-12.0723261,-76.9559000,Av. Javier Prado Este 4921 - La Molina 15023,-12.0913212,-76.9510361,3.92
LM-119 1111 - La Molina 15024,-12.0723261,-76.9559000,894 - Av. Flora Tristan 956 - La Molina 15012,-12.0635850,-76.9453729,4.10
LM-119 1111 - La Molina 15024,-12.0723261,-76.9559000,Calle Toulon 155 - La Molina 15023,-12.0722000,-76.9526652,0.97
Jr. la Punta con - La Molina 15026,-12.0863000,-76.8996846,LM-119 688 - La Molina 15023,-12.0664305,-76.9593000,12.57
Jr. la Punta con - La Molina 15026,-12.0863000,-76.8996846,El Carrizal 265 - La Molina 15012,-12.0633707,-76.9571991,12.38
Jr. la Punta con - La Molina 15026,-12.0863000,-76.8996846,Av. la Fontana 955 - La Molina 15024,-12.0733000,-76.9480494,20.03
Jr. la Punta con - La Molina 15026,-12.0863000,-76.8996846,Av. Javier Prado Este 4921 - La Molina 15023,-12.0913212,-76.9510361,15.48
Jr. la Punta con - La Molina 15026,-12.0863000,-76.8996846,894 - Av. Flora Tristan 956 - La Molina 15012,-12.0635850,-76.9453729,10.20
Jr. la Punta con - La Molina 15026,-12.0863000,-76.8996846,Calle Toulon 155 - La Molina 15023,-12.0722000,-76.9526652,10.96
LM-119 688 - La Molina 15023,-12.0664305,-76.9593000,Av. Santiago de Surco 3642 - Santiago de Surco 15049,-12.1351000,-76.9967882,15.65
LM-119 688 - La Molina 15023,-12.0664305,-76.9593000,Av. Mariscal Ramon Castilla 1395 - Santiago de Surco 15048,-12.1363016,-77.0510150,46.12
LM-119 688 - La Molina 15023,-12.0664305,-76.9593000,Jr General Pedro Silva - Santiago de Surco 15054,-12.1572000,-76.9937934,29.13
LM-119 688 - La Molina 15023,-12.0664305,-76.9593000,El Polo 670 - Santiago de Surco 15023,-12.1015854,-76.9705000,7.38
LM-119 688 - La Molina 15023,-12.0664305,-76.9593000,Jiron Preciados 314 - Santiago de Surco 15038,-12.1266292,-76.9993891,21.70
LM-119 688 - La Molina 15023,-12.0664305,-76.9593000,Policlinico Municipal Surco Salud,-12.1442715,-77.0056793,18.12
El Carrizal 265 - La Molina 15012,-12.0633707,-76.9571991,Av. Santiago de Surco 3642 - Santiago de Surco 15049,-12.0664305,-76.9593000,1.11
El Carrizal 265 - La Molina 15012,-12.0633707,-76.9571991,Av. Mariscal Ramon Castilla 1395 - Santiago de Surco 15048,-12.1363016,-77.0510150,47.53
El Carrizal 265 - La Molina 15012,-12.0633707,-76.9571991,Jr General Pedro Silva - Santiago de Surco 15054,-12.1572000,-76.9937934,40.29
El Carrizal 265 - La Molina 15012,-12.0633707,-76.9571991,El Polo 670 - Santiago de Surco 15023,-12.1015854,-76.9705000,12.14
El Carrizal 265 - La Molina 15012,-12.0633707,-76.9571991,Jiron Preciados 314 - Santiago de Surco 15038,-12.1266292,-76.9993891,15.21
El Carrizal 265 - La Molina 15012,-12.0633707,-76.9571991,Policlinico Municipal Surco Salud,-12.0722000,-76.9526652,2.98
Av. la Fontana 955 - La Molina 15024,-12.0733000,-76.9480494,Av. Santiago de Surco 3642 - Santiago de Surco 15049,-12.0664305,-76.9593000,3.95
Av. la Fontana 955 - La Molina 15024,-12.0733000,-76.9480494,Av. Mariscal Ramon Castilla 1395 - Santiago de Surco 15048,-12.1363016,-77.0510150,48.28
Av. la Fontana 955 - La Molina 15024,-12.0733000,-76.9480494,Jr General Pedro Silva - Santiago de Surco 15054,-12.1572000,-76.9937934,38.22
Av. la Fontana 955 - La Molina 15024,-12.0733000,-76.9480494,El Polo 670 - Santiago de Surco 15023,-12.1015854,-76.9705000,7.22
Av. la Fontana 955 - La Molina 15024,-12.0733000,-76.9480494,Jiron Preciados 314 - Santiago de Surco 15038,-12.1266292,-76.9993891,14.81
Av. la Fontana 955 - La Molina 15024,-12.0733000,-76.9480494,Policlinico Municipal Surco Salud,-12.0722000,-76.9526652,1.90
Av. Javier Prado Este 4921 - La Molina 15023,-12.0913212,-76.9510361,Av. Santiago de Surco 3642 - Santiago de Surco 15049,-12.0664305,-76.9593000,5.25
Av. Javier Prado Este 4921 - La Molina 15023,-12.0913212,-76.9510361,Av. Mariscal Ramon Castilla 1395 - Santiago de Surco 15048,-12.1363016,-77.0510150,21.93
Av. Javier Prado Este 4921 - La Molina 15023,-12.0913212,-76.9510361,Jr General Pedro Silva - Santiago de Surco 15054,-12.1572000,-76.9937934,31.42
Av. Javier Prado Este 4921 - La Molina 15023,-12.0913212,-76.9510361,El Polo 670 - Santiago de Surco 15023,-12.1015854,-76.9705000,6.60
Av. Javier Prado Este 4921 - La Molina 15023,-12.0913212,-76.9510361,Jiron Preciados 314 - Santiago de Surco 15038,-12.1266292,-76.9993891,23.95
Av. Javier Prado Este 4921 - La Molina 15023,-12.0913212,-76.9510361,Policlinico Municipal Surco Salud,-12.0722000,-76.9526652,5.76
Calle Toulon 155 - La Molina 15023,-12.0722000,-76.9526652,Av. Santiago de Surco 3642 - Santiago de Surco 15049,-12.0664305,-76.9593000,3.52
Calle Toulon 155 - La Molina 15023,-12.0722000,-76.9526652,Av. Mariscal Ramon Castilla 1395 - Santiago de Surco 15048,-12.1363016,-77.0510150,23.48
Calle Toulon 155 - La Molina 15023,-12.0722000,-76.9526652,Jr General Pedro Silva - Santiago de Surco 15054,-12.1572000,-76.9937934,28.33
Calle Toulon 155 - La Molina 15023,-12.0722000,-76.9526652,El Polo 670 - Santiago de Surco 15023,-12.1015854,-76.9705000,6.87
Calle Toulon 155 - La Molina 15023,-12.0722000,-76.9526652,Jiron Preciados 314 - Santiago de Surco 15038,-12.1266292,-76.9993891,21.52
Calle Toulon 155 - La Molina 15023,-12.0722000,-76.9526652,Policlinico Municipal Surco Salud,-12.1442715,-77.0056793,17.89
Av. Santiago de Surco 3642 - Santiago de Surco 15049,-12.1351000,-76.9967882,LM-119 688 - La Molina 15023,-12.0664305,-76.9593000,23.47
Av. Santiago de Surco 3642 - Santiago de Surco 15049,-12.1351000,-76.9967882,El Carrizal 265 - La Molina 15012,-12.0633707,-76.9571991,32.77
Av. Santiago de Surco 3642 - Santiago de Surco 15049,-12.1351000,-76.9967882,Av. la Fontana 955 - La Molina 15024,-12.0733000,-76.9480494,15.74
Av. Santiago de Surco 3642 - Santiago de Surco 15049,-12.1351000,-76.9967882,Av. Javier Prado Este 4921 - La Molina 15023,-12.0913212,-76.9510361,19.00
Av. Santiago de Surco 3642 - Santiago de Surco 15049,-12.1351000,-76.9967882,894 - Av. Flora Tristan 956 - La Molina 15012,-12.0635850,-76.9453729,17.62
Av. Santiago de Surco 3642 - Santiago de Surco 15049,-12.1351000,-76.9967882,Calle Toulon 155 - La Molina 15023,-12.0722000,-76.9526652,30.73
Av. Mariscal Ramon Castilla 1395 - Santiago de Surco 15048,-12.1363016,-77.0510150,LM-119 688 - La Molina 15023,-12.0664305,-76.9593000,46.12
Av. Mariscal Ramon Castilla 1395 - Santiago de Surco 15048,-12.1363016,-77.0510150,El Carrizal 265 - La Molina 15012,-12.0633707,-76.9571991,23.77
Av. Mariscal Ramon Castilla 1395 - Santiago de Surco 15048,-12.1363016,-77.0510150,Av. la Fontana 955 - La Molina 15024,-12.0733000,-76.9480494,36.21
Av. Mariscal Ramon Castilla 1395 - Santiago de Surco 15048,-12.1363016,-77.0510150,Av. Javier Prado Este 4921 - La Molina 15023,-12.0913212,-76.9510361,21.93
Av. Mariscal Ramon Castilla 1395 - Santiago de Surco 15048,-12.1363016,-77.0510150,894 - Av. Flora Tristan 956 - La Molina 15012,-12.0635850,-76.9453729,25.65
Av. Mariscal Ramon Castilla 1395 - Santiago de Surco 15048,-12.1363016,-77.0510150,Calle Toulon 155 - La Molina 15023,-12.0722000,-76.9526652,35.22
Jr General Pedro Silva - Santiago de Surco 15054,-12.1572000,-76.9937934,LM-119 688 - La Molina 15023,-12.0664305,-76.9593000,29.13
Jr General Pedro Silva - Santiago de Surco 15054,-12.1572000,-76.9937934,El Carrizal 265 - La Molina 15012,-12.0633707,-76.9571991,20.14
Jr General Pedro Silva - Santiago de Surco 15054,-12.1572000,-76.9937934,Av. la Fontana 955 - La Molina 15024,-12.0733000,-76.9480494,38.22
Jr General Pedro Silva - Santiago de Surco 15054,-12.1572000,-76.9937934,Av. Javier Prado Este 4921 - La Molina 15023,-12.0913212,-76.9510361,15.71
Jr General Pedro Silva - Santiago de Surco 15054,-12.1572000,-76.9937934,894 - Av. Flora Tristan 956 - La Molina 15012,-12.0635850,-76.9453729,31.62
Jr General Pedro Silva - Santiago de Surco 15054,-12.1572000,-76.9937934,Calle Toulon 155 - La Molina 15023,-12.0722000,-76.9526652,28.33
El Polo 670 - Santiago de Surco 15023,-12.1015854,-76.9705000,LM-119 688 - La Molina 15023,-12.0664305,-76.9593000,11.07
El Polo 670 - Santiago de Surco 15023,-12.1015854,-76.9705000,El Carrizal 265 - La Molina 15012,-12.0633707,-76.9571991,8.09
El Polo 670 - Santiago de Surco 15023,-12.1015854,-76.9705000,Av. la Fontana 955 - La Molina 15024,-12.0733000,-76.9480494,10.83
El Polo 670 - Santiago de Surco 15023,-12.1015854,-76.9705000,Av. Javier Prado Este 4921 - La Molina 15023,-12.0913212,-76.9510361,4.40
El Polo 670 - Santiago de Surco 15023,-12.1015854,-76.9705000,894 - Av. Flora Tristan 956 - La Molina 15012,-12.0635850,-76.9453729,18.22
El Polo 670 - Santiago de Surco 15023,-12.1015854,-76.9705000,Calle Toulon 155 - La Molina 15023,-12.0722000,-76.9526652,13.75
Jiron Preciados 314 - Santiago de Surco 15038,-12.1266292,-76.9993891,LM-119 688 - La Molina 15023,-12.0664305,-76.9593000,21.70
Jiron Preciados 314 - Santiago de Surco 15038,-12.1266292,-76.9993891,El Carrizal 265 - La Molina 15012,-12.0633707,-76.9571991,15.21
Jiron Preciados 314 - Santiago de Surco 15038,-12.1266292,-76.9993891,Av. la Fontana 955 - La Molina 15024,-12.0733000,-76.9480494,14.81
Jiron Preciados 314 - Santiago de Surco 15038,-12.1266292,-76.9993891,Av. Javier Prado Este 4921 - La Molina 15023,-12.0913212,-76.9510361,23.95
Jiron Preciados 314 - Santiago de Surco 15038,-12.1266292,-76.9993891,894 - Av. Flora Tristan 956 - La Molina 15012,-12.0635850,-76.9453729,33.21
Jiron Preciados 314 - Santiago de Surco 15038,-12.1266292,-76.9993891,Calle Toulon 155 - La Molina 15023,-12.0722000,-76.9526652,28.69
Jr. Almte. Miguel Grau 309 - Santiago de Surco 15049,-12.1442715,-77.0056793,LM-119 688 - La Molina 15023,-12.0664305,-76.9593000,27.18
Jr. Almte. Miguel Grau 309 - Santiago de Surco 15049,-12.1442715,-77.0056793,El Carrizal 265 - La Molina 15012,-12.0633707,-76.9571991,37.73
Jr. Almte. Miguel Grau 309 - Santiago de Surco 15049,-12.1442715,-77.0056793,Av. la Fontana 955 - La Molina 15024,-12.0733000,-76.9480494,18.28
Jr. Almte. Miguel Grau 309 - Santiago de Surco 15049,-12.1442715,-77.0056793,Av. Javier Prado Este 4921 - La Molina 15023,-12.0913212,-76.9510361,30.44
Jr. Almte. Miguel Grau 309 - Santiago de Surco 15049,-12.1442715,-77.0056793,894 - Av. Flora Tristan 956 - La Molina 15012,-12.0635850,-76.9453729,40.29
Jr. Almte. Miguel Grau 309 - Santiago de Surco 15049,-12.1442715,-77.0056793,Calle Toulon 155 - La Molina 15023,-12.0722000,-76.9526652,26.84
Marques de Guadalcazar 160 - Santiago de Surco 15049,-12.1408126,-76.9959465,Av. Andres Tinoco 394 - Santiago de Surco 15039,-12.1432658,-76.9867402,2.86
Marques de Guadalcazar 160 - Santiago de Surco 15049,-12.1408126,-76.9959465,Jr. Morro Solar 110 - Santiago de Surco 15039,-12.1108149,-76.9789928,13.78
Marques de Guadalcazar 160 - Santiago de Surco 15049,-12.1408126,-76.9959465,Av. Aviacion 5092 - Santiago de Surco 15038,-12.1265825,-77.0005071,5.98
Marques de Guadalcazar 160 - Santiago de Surco 15049,-12.1408126,-76.9959465,Av. P. de la Republica 7883 - Santiago de Surco 15049,-12.1428674,-77.0009458,1.62
Marques de Guadalcazar 160 - Santiago de Surco 15049,-12.1408126,-76.9959465,Jiron Tacna 278 - Santiago de Surco 15086,-12.1441202,-77.0036859,3.37
Marques de Guadalcazar 160 - Santiago de Surco 15049,-12.1408126,-76.9959465,Jiron Batallon Callao Sur 187 - Santiago de Surco 15039,-12.1254622,-76.9836052,5.91
Av. Andres Tinoco 394 - Santiago de Surco 15039,-12.1432658,-76.9867402,Marques de Guadalcazar 160 - Santiago de Surco 15049,-12.1408126,-76.9959465,3.81
Av. Andres Tinoco 394 - Santiago de Surco 15039,-12.1432658,-76.9867402,Jr. Morro Solar 110 - Santiago de Surco 15039,-12.1108149,-76.9789928,10.01
