Inicio,Latitud,Longitud,Fin,,,Distancia
Jiron Batallon Callao Sur 187 - Santiago de Surco 15039,-12.1254622,-76.9836052,Av. P. de la Republica 7883 - Santiago de Surco 15049,-12.1428674,-77.0009458,9.83
Jiron Batallon Callao Sur 187 - Santiago de Surco 15039,-12.1254622,-76.9836052,Jiron Tacna 278 - Santiago de Surco 15086,-12.1441202,-77.0036859,5.48
C. Natalio Sanchez 140 - Lima 15049,-12.1454583,-77.0091958,Jiron Enrique Leon Garcia 362 - Santiago de Surco 15038,-12.1269371,-76.9957769,6.86
C. Natalio Sanchez 140 - Lima 15049,-12.1454583,-77.0091958,Cerro Azul Urb. San Ignacio - Monterrico 341 - Distrito Surco 15803,-12.1331922,-76.9769132,10.36
C. Natalio Sanchez 140 - Lima 15049,-12.1454583,-77.0091958,Av. Mariscal Ramon Castilla 1395 - Santiago de Surco 15048,-12.1363016,-77.0051015,2.01
C. Natalio Sanchez 140 - Lima 15049,-12.1454583,-77.0091958,Jr. Guardia Civil Sur 245 - Santiago de Surco 15054,-12.1641075,-76.9915236,5.14
C. Natalio Sanchez 140 - Lima 15049,-12.1454583,-77.0091958,Av. Primavera 1236 - Santiago de Surco 15023,-12.1102455,-76.9761918,19.30
C. Natalio Sanchez 140 - Lima 15049,-12.1454583,-77.0091958,Av. del Pinar - Santiago de Surco 15038,-12.1113187,-76.9897701,11.78
Jiron Enrique Leon Garcia 362 - Santiago de Surco 15038,-12.1269371,-76.9957769,C. Natalio Sanchez 140 - Lima 15049,-12.1454583,-77.0091958,9.15
Jiron Enrique Leon Garcia 362 - Santiago de Surco 15038,-12.1269371,-76.9957769,Cerro Azul Urb. San Ignacio - Monterrico 341 - Distrito Surco 15803,-12.1331922,-76.9769132,7.95
Jiron Enrique Leon Garcia 362 - Santiago de Surco 15038,-12.1269371,-76.9957769,Av. Mariscal Ramon Castilla 1395 - Santiago de Surco 15048,-12.1363016,-77.0051015,5.29
Jiron Enrique Leon Garcia 362 - Santiago de Surco 15038,-12.1269371,-76.9957769,Jr. Guardia Civil Sur 245 - Santiago de Surco 15054,-12.1641075,-76.9915236,11.22
Jiron Enrique Leon Garcia 362 - Santiago de Surco 15038,-12.1269371,-76.9957769,Av. Primavera 1236 - Santiago de Surco 15023,-12.1102455,-76.9761918,5.15
Jiron Enrique Leon Garcia 362 - Santiago de Surco 15038,-12.1269371,-76.9957769,Av. del Pinar - Santiago de Surco 15038,-12.1113187,-76.9897701,6.69
Cerro Azul Urb. San Ignacio - Monterrico 341 - Distrito Surco 15803,-12.1331922,-76.9769132,C. Natalio Sanchez 140 - Lima 15049,-12.1454583,-77.0091958,10.36
Cerro Azul Urb. San Ignacio - Monterrico 341 - Distrito Surco 15803,-12.1331922,-76.9769132,Jiron Enrique Leon Garcia 362 - Santiago de Surco 15038,-12.1269371,-76.9957769,7.95
Cerro Azul Urb. San Ignacio - Monterrico 341 - Distrito Surco 15803,-12.1331922,-76.9769132,Av. Mariscal Ramon Castilla 1395 - Santiago de Surco 15048,-12.1363016,-77.0051015,5.67
Cerro Azul Urb. San Ignacio - Monterrico 341 - Distrito Surco 15803,-12.1331922,-76.9769132,Jr. Guardia Civil Sur 245 - Santiago de Surco 15054,-12.1641075,-76.9915236,6.84
Cerro Azul Urb. San Ignacio - Monterrico 341 - Distrito Surco 15803,-12.1331922,-76.9769132,Av. Primavera 1236 - Santiago de Surco 15023,-12.1102455,-76.9761918,6.89
Cerro Azul Urb. San Ignacio - Monterrico 341 - Distrito Surco 15803,-12.1331922,-76.9769132,Av. del Pinar - Santiago de Surco 15038,-12.1113187,-76.9897701,10.15
Av. Mariscal Ramon Castilla 1395 - Santiago de Surco 15048,-12.1363016,-77.0051015,C. Natalio Sanchez 140 - Lima 15049,-12.1454583,-77.0091958,4.01
Av. Mariscal Ramon Castilla 1395 - Santiago de Surco 15048,-12.1363016,-77.0051015,Jiron Enrique Leon Garcia 362 - Santiago de Surco 15038,-12.1269371,-76.9957769,5.29
Av. Mariscal Ramon Castilla 1395 - Santiago de Surco 15048,-12.1363016,-77.0051015,Cerro Azul Urb. San Ignacio - Monterrico 341 - Distrito Surco 15803,-12.1331922,-76.9769132,11.34
Av. Mariscal Ramon Castilla 1395 - Santiago de Surco 15048,-12.1363016,-77.0051015,Jr. Guardia Civil Sur 245 - Santiago de Surco 15054,-12.1641075,-76.9915236,9.28
Av. Mariscal Ramon Castilla 1395 - Santiago de Surco 15048,-12.1363016,-77.0051015,Av. Primavera 1236 - Santiago de Surco 15023,-12.1102455,-76.9761918,7.78
Av. Mariscal Ramon Castilla 1395 - Santiago de Surco 15048,-12.1363016,-77.0051015,Av. del Pinar - Santiago de Surco 15038,-12.1113187,-76.9897701,11.72
Jr. Guardia Civil Sur 245 - Santiago de Surco 15054,-12.1641075,-76.9915236,C. Natalio Sanchez 140 - Lima 15049,-12.1454583,-77.0091958,7.71
Jr. Guardia Civil Sur 245 - Santiago de Surco 15054,-12.1641075,-76.9915236,Jiron Enrique Leon Garcia 362 - Santiago de Surco 15038,-12.1269371,-76.9957769,7.48
Jr. Guardia Civil Sur 245 - Santiago de Surco 15054,-12.1641075,-76.9915236,Cerro Azul Urb. San Ignacio - Monterrico 341 - Distrito Surco 15803,-12.1331922,-76.9769132,6.84
Jr. Guardia Civil Sur 245 - Santiago de Surco 15054,-12.1641075,-76.9915236,Av. Mariscal Ramon Castilla 1395 - Santiago de Surco 15048,-12.1363016,-77.0051015,6.19
Jr. Guardia Civil Sur 245 - Santiago de Surco 15054,-12.1641075,-76.9915236,Av. Primavera 1236 - Santiago de Surco 15023,-12.1102455,-76.9761918,16.80
Jr. Guardia Civil Sur 245 - Santiago de Surco 15054,-12.1641075,-76.9915236,Av. del Pinar - Santiago de Surco 15038,-12.1113187,-76.9897701,10.56
Av. Primavera 1236 - Santiago de Surco 15023,-12.1102455,-76.9761918,C. Natalio Sanchez 140 - Lima 15049,-12.1454583,-77.0091958,14.48
Av. Primavera 1236 - Santiago de Surco 15023,-12.1102455,-76.9761918,Jiron Enrique Leon Garcia 362 - Santiago de Surco 15038,-12.1269371,-76.9957769,5.15
Av. Primavera 1236 - Santiago de Surco 15023,-12.1102455,-76.9761918,Cerro Azul Urb. San Ignacio - Monterrico 341 - Distrito Surco 15803,-12.1331922,-76.9769132,4.59
Av. Primavera 1236 - Santiago de Surco 15023,-12.1102455,-76.9761918,Av. Mariscal Ramon Castilla 1395 - Santiago de Surco 15048,-12.1363016,-77.0051015,7.78
Av. Primavera 1236 - Santiago de Surco 15023,-12.1102455,-76.9761918,Jr. Guardia Civil Sur 245 - Santiago de Surco 15054,-12.1641075,-76.9915236,22.40
Av. Primavera 1236 - Santiago de Surco 15023,-12.1102455,-76.9761918,Av. del Pinar - Santiago de Surco 15038,-12.1113187,-76.9897701,2.72
Av. del Pinar - Santiago de Surco 15038,-12.1113187,-76.9897701,C. Natalio Sanchez 140 - Lima 15049,-12.1454583,-77.0091958,11.78
Av. del Pinar - Santiago de Surco 15038,-12.1113187,-76.9897701,Jiron Enrique Leon Garcia 362 - Santiago de Surco 15038,-12.1269371,-76.9957769,3.35
Av. del Pinar - Santiago de Surco 15038,-12.1113187,-76.9897701,Cerro Azul Urb. San Ignacio - Monterrico 341 - Distrito Surco 15803,-12.1331922,-76.9769132,5.07
Av. del Pinar - Santiago de Surco 15038,-12.1113187,-76.9897701,Av. Mariscal Ramon Castilla 1395 - Santiago de Surco 15048,-12.1363016,-77.0051015,8.79
Av. del Pinar - Santiago de Surco 15038,-12.1113187,-76.9897701,Jr. Guardia Civil Sur 245 - Santiago de Surco 15054,-12.1641075,-76.9915236,10.56
Av. del Pinar - Santiago de Surco 15038,-12.1113187,-76.9897701,Av. Primavera 1236 - Santiago de Surco 15023,-12.1102455,-76.9761918,5.45
Av. Manuel Olguin 335 - Santiago de Surco 15023,-12.0885766,-76.9733866,H Lt. 10  Av. Guardia Civil Sur 1 Mz - Santiago de Surco 15054,-12.1650032,-76.9905141,31.33
Av. Manuel Olguin 335 - Santiago de Surco 15023,-12.0885766,-76.9733866,Av. Guardia Civil Sur Mz A Lt.1 - Santiago de Surco 15023,-12.1662187,-76.9904461,23.85
Av. Manuel Olguin 335 - Santiago de Surco 15023,-12.0885766,-76.9733866,Santiago de Surco 15038,-12.1115771,-76.9926783,9.01
Av. Manuel Olguin 335 - Santiago de Surco 15023,-12.0885766,-76.9733866,Cerro Azul Urb. San Ignacio - Monterrico 341 - Distrito Surco 15803,-12.1331922,-76.9769132,13.43
Av. Manuel Olguin 335 - Santiago de Surco 15023,-12.0885766,-76.9733866,Av. Santiago de Surco 4703 - Santiago de Surco 15039,-12.1446214,-76.9889616,11.63
Av. Manuel Olguin 335 - Santiago de Surco 15023,-12.0885766,-76.9733866,Av. Jorge Chavez 1396 - Santiago de Surco 15063,-12.1505431,-77.0067596,14.08
H Lt. 10  Av. Guardia Civil Sur 1 Mz - Santiago de Surco 15054,-12.1650032,-76.9905141,Av. Manuel Olguin 335 - Santiago de Surco 15023,-12.0885766,-76.9733866,23.50
H Lt. 10  Av. Guardia Civil Sur 1 Mz - Santiago de Surco 15054,-12.1650032,-76.9905141,Av. Guardia Civil Sur Mz A Lt.1 - Santiago de Surco 15023,-12.1662187,-76.9904461,0.37
H Lt. 10  Av. Guardia Civil Sur 1 Mz - Santiago de Surco 15054,-12.1650032,-76.9905141,Santiago de Surco 15038,-12.1115771,-76.9926783,16.04
H Lt. 10  Av. Guardia Civil Sur 1 Mz - Santiago de Surco 15054,-12.1650032,-76.9905141,Cerro Azul Urb. San Ignacio - Monterrico 341 - Distrito Surco 15803,-12.1331922,-76.9769132,13.84
H Lt. 10  Av. Guardia Civil Sur 1 Mz - Santiago de Surco 15054,-12.1650032,-76.9905141,Av. Santiago de Surco 4703 - Santiago de Surco 15039,-12.1446214,-76.9889616,6.13
H Lt. 10  Av. Guardia Civil Sur 1 Mz - Santiago de Surco 15054,-12.1650032,-76.9905141,Av. Jorge Chavez 1396 - Santiago de Surco 15063,-12.1505431,-77.0067596,6.52
Av. Guardia Civil Sur Mz A Lt.1 - Santiago de Surco 15023,-12.1662187,-76.9904461,Av. Manuel Olguin 335 - Santiago de Surco 15023,-12.0885766,-76.9733866,15.90
Av. Guardia Civil Sur Mz A Lt.1 - Santiago de Surco 15023,-12.1662187,-76.9904461,H Lt. 10  Av. Guardia Civil Sur 1 Mz - Santiago de Surco 15054,-12.1650032,-76.9905141,0.37
Av. Guardia Civil Sur Mz A Lt.1 - Santiago de Surco 15023,-12.1662187,-76.9904461,Santiago de Surco 15038,-12.1115771,-76.9926783,10.94
Av. Guardia Civil Sur Mz A Lt.1 - Santiago de Surco 15023,-12.1662187,-76.9904461,Cerro Azul Urb. San Ignacio - Monterrico 341 - Distrito Surco 15803,-12.1331922,-76.9769132,7.14
Av. Guardia Civil Sur Mz A Lt.1 - Santiago de Surco 15023,-12.1662187,-76.9904461,Av. Santiago de Surco 4703 - Santiago de Surco 15039,-12.1446214,-76.9889616,8.66
Av. Guardia Civil Sur Mz A Lt.1 - Santiago de Surco 15023,-12.1662187,-76.9904461,Av. Jorge Chavez 1396 - Santiago de Surco 15063,-12.1505431,-77.0067596,9.05
Santiago de Surco 15038,-12.1115771,-76.9926783,Av. Manuel Olguin 335 - Santiago de Surco 15023,-12.0885766,-76.9733866,12.01
Santiago de Surco 15038,-12.1115771,-76.9926783,H Lt. 10  Av. Guardia Civil Sur 1 Mz - Santiago de Surco 15054,-12.1650032,-76.9905141,21.39
Santiago de Surco 15038,-12.1115771,-76.9926783,Av. Guardia Civil Sur Mz A Lt.1 - Santiago de Surco 15023,-12.1662187,-76.9904461,10.94
Santiago de Surco 15038,-12.1115771,-76.9926783,Cerro Azul Urb. San Ignacio - Monterrico 341 - Distrito Surco 15803,-12.1331922,-76.9769132,5.35
Santiago de Surco 15038,-12.1115771,-76.9926783,Av. Santiago de Surco 4703 - Santiago de Surco 15039,-12.1446214,-76.9889616,6.65
Santiago de Surco 15038,-12.1115771,-76.9926783,Av. Jorge Chavez 1396 - Santiago de Surco 15063,-12.1505431,-77.0067596,8.29
Cerro Azul Urb. San Ignacio - Monterrico 341 - Distrito Surco 15803,-12.1331922,-76.9769132,Av. Manuel Olguin 335 - Santiago de Surco 15023,-12.0885766,-76.9733866,13.43
Cerro Azul Urb. San Ignacio - Monterrico 341 - Distrito Surco 15803,-12.1331922,-76.9769132,H Lt. 10  Av. Guardia Civil Sur 1 Mz - Santiago de Surco 15054,-12.1650032,-76.9905141,10.38
Cerro Azul Urb. San Ignacio - Monterrico 341 - Distrito Surco 15803,-12.1331922,-76.9769132,Av. Guardia Civil Sur Mz A Lt.1 - Santiago de Surco 15023,-12.1662187,-76.9904461,7.14
Cerro Azul Urb. San Ignacio - Monterrico 341 - Distrito Surco 15803,-12.1331922,-76.9769132,Santiago de Surco 15038,-12.1115771,-76.9926783,10.70
Cerro Azul Urb. San Ignacio - Monterrico 341 - Distrito Surco 15803,-12.1331922,-76.9769132,Av. Santiago de Surco 4703 - Santiago de Surco 15039,-12.1446214,-76.9889616,3.32
Cerro Azul Urb. San Ignacio - Monterrico 341 - Distrito Surco 15803,-12.1331922,-76.9769132,Av. Jorge Chavez 1396 - Santiago de Surco 15063,-12.1505431,-77.0067596,6.90
Av. Santiago de Surco 4703 - Santiago de Surco 15039,-12.1446214,-76.9889616,Av. Manuel Olguin 335 - Santiago de Surco 15023,-12.0885766,-76.9733866,23.27
Av. Santiago de Surco 4703 - Santiago de Surco 15039,-12.1446214,-76.9889616,H Lt. 10  Av. Guardia Civil Sur 1 Mz - Santiago de Surco 15054,-12.1650032,-76.9905141,8.18
Av. Santiago de Surco 4703 - Santiago de Surco 15039,-12.1446214,-76.9889616,Av. Guardia Civil Sur Mz A Lt.1 - Santiago de Surco 15023,-12.1662187,-76.9904461,6.49
Av. Santiago de Surco 4703 - Santiago de Surco 15039,-12.1446214,-76.9889616,Santiago de Surco 15038,-12.1115771,-76.9926783,13.30
Av. Santiago de Surco 4703 - Santiago de Surco 15039,-12.1446214,-76.9889616,Cerro Azul Urb. San Ignacio - Monterrico 341 - Distrito Surco 15803,-12.1331922,-76.9769132,6.64
Av. Santiago de Surco 4703 - Santiago de Surco 15039,-12.1446214,-76.9889616,Av. Jorge Chavez 1396 - Santiago de Surco 15063,-12.1505431,-77.0067596,3.75
Av. Jorge Chavez 1396 - Santiago de Surco 15063,-12.1505431,-77.0067596,Av. Manuel Olguin 335 - Santiago de Surco 15023,-12.0885766,-76.9733866,21.11
Av. Jorge Chavez 1396 - Santiago de Surco 15063,-12.1505431,-77.0067596,H Lt. 10  Av. Guardia Civil Sur 1 Mz - Santiago de Surco 15054,-12.1650032,-76.9905141,8.70
Av. Jorge Chavez 1396 - Santiago de Surco 15063,-12.1505431,-77.0067596,Santiago de Surco 15038,-12.1115771,-76.9926783,12.43
Av. Jorge Chavez 1396 - Santiago de Surco 15063,-12.1505431,-77.0067596,Av. Guardia Civil Sur Mz A Lt.1 - Santiago de Surco 15023,-12.1662187,-76.9904461,9.05
Av. Jorge Chavez 1396 - Santiago de Surco 15063,-12.1505431,-77.0067596,Cerro Azul Urb. San Ignacio - Monterrico 341 - Distrito Surco 15803,-12.1331922,-76.9769132,10.36
Av. Jorge Chavez 1396 - Santiago de Surco 15063,-12.1505431,-77.0067596,Av. Santiago de Surco 4703 - Santiago de Surco 15039,-12.1446214,-76.9889616,5.63
